,date,temp_mean,temp_min,temp_max,humidity_mean,wind_speed_mean,rain_1h_median,rain_3h_median,snow_1h_median,snow_3h_median
20,2021-01-21,36.08750000000005,28.670000000000062,46.814000000000036,62.083333333333336,13.312014166666666,,,,
21,2021-01-22,31.21625000000004,25.591999999999995,42.40400000000005,66.625,13.271934583333335,,,,
22,2021-01-23,20.471000000000043,13.388000000000044,31.262000000000057,67.16666666666667,5.182383333333333,,,,
23,2021-01-24,28.80650000000003,26.258000000000003,31.55,70.20833333333333,7.897542083333335,,,0.03937007874015748,
24,2021-01-25,30.328769230769264,28.598000000000024,31.783999999999992,90.07692307692308,7.471580000000001,,,0.14173228346456693,
25,2021-01-26,33.618758620689675,31.082000000000015,36.03200000000002,92.0,8.568481379310343,0.15551181102362205,,0.09842519685039369,
26,2021-01-27,28.745750000000047,25.538000000000046,31.946000000000048,84.75,10.078617083333333,,,0.06692913385826772,
27,2021-01-28,24.61325000000004,20.732000000000014,28.85,74.41666666666667,9.610711250000001,,,0.07874015748031496,
28,2021-01-29,23.72975000000004,17.924000000000014,32.99000000000002,71.875,3.0665541666666662,,,,
29,2021-01-30,28.18100000000004,23.144000000000073,34.57400000000001,68.20833333333333,9.378622500000002,0.0826771653543307,,,
30,2021-01-31,33.13446153846155,30.254000000000055,34.358000000000004,89.48717948717949,14.490597692307697,0.19685039370078738,0.9035433070866141,0.20078740157480315,
31,2021-02-01,27.861500000000053,25.664000000000033,31.13600000000007,83.5,14.745558333333337,,,0.03937007874015748,
32,2021-02-02,23.58050000000004,15.38600000000007,31.19000000000002,76.625,11.138395833333332,,,,
33,2021-02-03,25.194500000000033,18.446000000000048,33.02600000000009,83.83333333333333,9.516570833333331,,,,
34,2021-02-04,28.555769230769272,18.806000000000026,36.03200000000002,80.11538461538461,8.415421923076924,0.4015748031496063,,,
35,2021-02-05,25.99850000000005,19.238000000000042,35.61800000000009,79.41666666666667,16.713186250000003,0.3031496062992126,0.30708661417322836,0.04330708661417323,
36,2021-02-06,17.591000000000033,10.148000000000025,25.808000000000003,68.20833333333333,9.190341666666667,,,,
37,2021-02-07,9.46025000000004,0.5900000000000212,16.86200000000006,73.91666666666667,7.969312499999998,,,0.07480314960629922,
38,2021-02-08,12.085250000000032,6.998000000000022,20.678000000000065,73.91666666666667,5.406083333333332,,,0.0688976377952756,
39,2021-02-09,19.766750000000037,17.636000000000067,22.388000000000044,79.625,7.484629166666668,,,0.09055118110236221,
40,2021-02-10,17.129750000000037,12.704000000000054,20.24600000000005,78.91666666666667,6.785566666666667,,,0.10826771653543307,
41,2021-02-11,17.75450000000004,16.988000000000042,19.598000000000024,77.70833333333333,12.266216666666667,,,0.049212598425196846,
42,2021-02-12,20.07875000000004,15.710000000000083,25.574000000000012,74.5,10.129881666666668,,,,
43,2021-02-13,21.981500000000043,19.688000000000045,24.74600000000005,79.54166666666667,8.332825,,,,
44,2021-02-14,15.566750000000042,5.306000000000029,23.018000000000086,79.33333333333333,8.135223333333334,,,,
45,2021-02-15,14.692250000000046,12.704000000000054,17.528000000000063,79.91666666666667,14.158345833333335,,,0.10826771653543307,
46,2021-02-16,13.118000000000041,10.31000000000008,17.33000000000004,80.96,12.565676400000005,,,0.20078740157480315,0.30708661417322836
