,Date,Loop ID,Mean Students Boarded,Total Students Boarded,Total Students Left Behind,Temp Mean,Temp Low,Temp High,Humidity Mean,Wind Speed Mean,Rain One Hour Median,Rain Three Hour Median,Snow One Hour Median,Snow Three Hour Median,Month,Season
65,2021-02-02,Demand Response,1.3636363636363635,30.0,0.0,23.58050000000004,15.386000000000069,31.19000000000002,76.625,11.138395833333332,,,,,February,Winter
66,2021-02-02,Green Loop,0.9662576687116564,1260.0,0.0,23.58050000000004,15.386000000000069,31.19000000000002,76.625,11.138395833333332,,,,,February,Winter
67,2021-02-02,Orange Loop,0.6365638766519823,289.0,0.0,23.58050000000004,15.386000000000069,31.19000000000002,76.625,11.138395833333332,,,,,February,Winter
68,2021-02-02,Red Loop,0.9444444444444444,680.0,0.0,23.58050000000004,15.386000000000069,31.19000000000002,76.625,11.138395833333332,,,,,February,Winter
69,2021-02-03,Blue Loop,0.8181818181818182,396.0,0.0,25.194500000000033,18.446000000000048,33.02600000000009,83.83333333333333,9.516570833333333,,,,,February,Winter
70,2021-02-03,Demand Response,1.35,27.0,0.0,25.194500000000033,18.446000000000048,33.02600000000009,83.83333333333333,9.516570833333333,,,,,February,Winter
71,2021-02-03,Green Loop,1.024390243902439,1260.0,0.0,25.194500000000033,18.446000000000048,33.02600000000009,83.83333333333333,9.516570833333333,,,,,February,Winter
72,2021-02-03,Orange Loop,0.7909090909090909,348.0,0.0,25.194500000000033,18.446000000000048,33.02600000000009,83.83333333333333,9.516570833333333,,,,,February,Winter
73,2021-02-03,Red Loop,1.152046783625731,788.0,0.0,25.194500000000033,18.446000000000048,33.02600000000009,83.83333333333333,9.516570833333333,,,,,February,Winter
74,2021-02-04,Blue Loop,0.8155136268343816,389.0,0.0,28.555769230769272,18.806000000000022,36.032000000000025,80.11538461538461,8.415421923076924,0.4015748031496063,,,,February,Winter
75,2021-02-04,Demand Response,1.375,33.0,0.0,28.555769230769272,18.806000000000022,36.032000000000025,80.11538461538461,8.415421923076924,0.4015748031496063,,,,February,Winter
76,2021-02-04,Green Loop,0.9532312925170068,1121.0,4.0,28.555769230769272,18.806000000000022,36.032000000000025,80.11538461538461,8.415421923076924,0.4015748031496063,,,,February,Winter
77,2021-02-04,Orange Loop,0.8790697674418605,378.0,0.0,28.555769230769272,18.806000000000022,36.032000000000025,80.11538461538461,8.415421923076924,0.4015748031496063,,,,February,Winter
78,2021-02-04,Red Loop,1.0302158273381294,716.0,0.0,28.555769230769272,18.806000000000022,36.032000000000025,80.11538461538461,8.415421923076924,0.4015748031496063,,,,February,Winter
